rok;wojewodztwo;powiat;gmina;teryt
2001;lubelskie;bialski;terespol;60116
2002;lubelskie;bialski;janów podlaski;60105
2002;lubelskie;bialski;terespol;60102
2002;lubelskie;bialski;łomazy;60109
2002;lubelskie;bialski;sławatycze;60114
2002;lubelskie;bialski;międzyrzec podlaski;60101
2002;lubelskie;bialski;biała podlaska;60103
2002;lubelskie;bialski;drelów;60104
2002;lubelskie;bialski;sosnówka;60115
2002;lubelskie;bialski;kodeń;60106
2002;lubelskie;bialski;konstantynów;60107
2002;lubelskie;bialski;leśna podlaska;60108
2002;lubelskie;bialski;międzyrzec podlaski;60110
2002;lubelskie;bialski;piszczac;60111
2002;lubelskie;bialski;rokitno;60112
2002;lubelskie;bialski;rossosz;60113
2002;lubelskie;bialski;terespol;60116
2002;lubelskie;bialski;tuczna;60117
2002;lubelskie;bialski;wisznice;60118
2002;lubelskie;bialski;zalesie;60119
2003;lubelskie;bialski;łomazy;60109
2003;lubelskie;bialski;sosnówka;60115
2003;lubelskie;bialski;janów podlaski;60105
2003;lubelskie;bialski;terespol;60116
2003;lubelskie;bialski;tuczna;60117
2003;lubelskie;bialski;międzyrzec podlaski;60101
2003;lubelskie;bialski;rossosz;60113
2003;lubelskie;bialski;rokitno;60112
2003;lubelskie;bialski;piszczac;60111
2003;lubelskie;bialski;międzyrzec podlaski;60110
2003;lubelskie;bialski;zalesie;60119
2003;lubelskie;bialski;wisznice;60118
2003;lubelskie;bialski;leśna podlaska;60108
2003;lubelskie;bialski;konstantynów;60107
2003;lubelskie;bialski;drelów;60104
2003;lubelskie;bialski;biała podlaska;60103
2003;lubelskie;bialski;kodeń;60106
2003;lubelskie;bialski;sławatycze;60114
2003;lubelskie;bialski;terespol;60102
2004;lubelskie;bialski;sosnówka;60115
2004;lubelskie;bialski;łomazy;60109
2004;lubelskie;bialski;piszczac;60111
2004;lubelskie;bialski;zalesie;60119
2004;lubelskie;bialski;międzyrzec podlaski;60101
2004;lubelskie;bialski;terespol;60102
2004;lubelskie;bialski;janów podlaski;60105
2004;lubelskie;bialski;wisznice;60118
2004;lubelskie;bialski;tuczna;60117
2004;lubelskie;bialski;biała podlaska;60103
2004;lubelskie;bialski;konstantynów;60107
2004;lubelskie;bialski;kodeń;60106
2004;lubelskie;bialski;rossosz;60113
2004;lubelskie;bialski;rokitno;60112
2004;lubelskie;bialski;międzyrzec podlaski;60110
2004;lubelskie;bialski;drelów;60104
2004;lubelskie;bialski;leśna podlaska;60108
2004;lubelskie;bialski;terespol;60116
2004;lubelskie;bialski;sławatycze;60114
2005;lubelskie;bialski;sławatycze;60114
2005;lubelskie;bialski;leśna podlaska;60108
2005;lubelskie;bialski;terespol;60102
2005;lubelskie;bialski;rossosz;60113
2005;lubelskie;bialski;rokitno;60112
2005;lubelskie;bialski;międzyrzec podlaski;60101
2005;lubelskie;bialski;zalesie;60119
2005;lubelskie;bialski;piszczac;60111
2005;lubelskie;bialski;janów podlaski;60105
2005;lubelskie;bialski;biała podlaska;60103
2005;lubelskie;bialski;sosnówka;60115
2005;lubelskie;bialski;drelów;60104
2005;lubelskie;bialski;łomazy;60109
2005;lubelskie;bialski;kodeń;60106
2005;lubelskie;bialski;konstantynów;60107
2005;lubelskie;bialski;międzyrzec podlaski;60110
2005;lubelskie;bialski;wisznice;60118
2005;lubelskie;bialski;terespol;60116
2005;lubelskie;bialski;tuczna;60117
2006;lubelskie;bialski;wisznice;60118
2006;lubelskie;bialski;piszczac;60111
2006;lubelskie;bialski;sosnówka;60115
2006;lubelskie;bialski;międzyrzec podlaski;60101
2006;lubelskie;bialski;terespol;60102
2006;lubelskie;bialski;janów podlaski;60105
